================================================================================
ТОП-200 МОНЕТ ПО ОБЪЕМУ ТОРГОВ НА BINANCE (USDT пары)
Дата: 2025-12-11 23:42:58
================================================================================

№     Символ       Цена (USDT)     Изменение 24ч   Объем 24ч (USDT)     Сделок    
33    DOT          $2.05           -10.54%         $23,302,817          142433    
34    UNI          $5.46           -7.19%          $21,684,182          130854    
35    XPL          $0.16           -8.77%          $21,430,408          170860    
36    FIL          $1.37           -11.29%         $21,323,380          105361    
37    USD1         $1.00           +0.00%          $20,641,925          10776     
38    HBAR         $0.13           -7.66%          $19,894,560          216053    
39    BFUSD        $1.00           +0.02%          $18,465,721          5776      
40    WIF          $0.40           -3.37%          $18,191,700          97742     
41    AAVE         $196.58         -3.75%          $18,088,026          221850    
42    DASH         $48.95          +0.02%          $17,798,048          95742     
43    USTC         $0.00910000     -14.15%         $17,033,997          162055    
44    FET          $0.24           -8.81%          $16,707,680          132205    
45    PUMP         $0.00282300     -7.66%          $15,189,991          97456     
46    WLD          $0.60           -6.69%          $14,612,326          81657     
47    XUSD         $1.00           +0.00%          $14,476,485          4194      
48    APT          $1.73           -8.19%          $13,596,435          59735     
49    BONK         $0.00000935     -6.96%          $13,497,046          714231    
50    ZEN          $9.31           -2.06%          $13,095,212          107388    
51    ARB          $0.21           -8.10%          $12,768,911          50630     
52    ICP          $3.40           -5.24%          $12,705,918          76023     
53    HYPER        $0.16           +4.19%          $11,645,109          53409     
54    SAPIEN       $0.17           +16.41%         $11,257,618          99186     
55    VIRTUAL      $0.83           -6.34%          $11,184,277          159615    
56    STRK         $0.11           -2.41%          $10,604,702          39328     
57    TON          $1.64           -3.02%          $10,461,577          75871     
58    XLM          $0.24           -5.75%          $10,200,177          121592    
59    SHIB         $0.00000844     -4.63%          $9,608,711           358703    
60    WLFI         $0.15           -5.63%          $9,299,679           63222     
61    SOMI         $0.25           +4.49%          $9,013,534           91139     
62    EIGEN        $0.47           -9.09%          $8,415,180           56547     
63    CRV          $0.39           -8.11%          $8,224,823           79655     
64    FLOKI        $0.00004761     -8.56%          $8,140,691           2812447   
65    BIO          $0.05           -8.87%          $8,005,747           31682     
66    INJ          $5.56           -7.33%          $8,004,248           43143     
67    ONDO         $0.47           -7.54%          $7,633,193           99638     
68    TRUMP        $5.67           -3.09%          $7,512,483           86756     
69    ETHFI        $0.81           -7.39%          $7,508,126           51767     
70    WBTC         $91,437.57      -2.27%          $7,437,279           13354     
71    CAKE         $2.24           -5.41%          $7,270,850           77147     
72    OP           $0.31           -7.70%          $7,237,996           46014     
73    POL          $0.12           -4.87%          $6,985,335           59959     
74    THE          $0.18           -2.83%          $6,826,818           47162     
75    NEIRO        $0.00013480     -7.42%          $6,510,541           135306    
76    SYRUP        $0.26           -7.30%          $6,481,609           101430    
77    LDO          $0.60           -8.63%          $6,426,335           102649    
78    TIA          $0.58           -8.93%          $6,363,217           56561     
79    MET          $0.26           -13.44%         $6,314,129           61036     
80    ETC          $13.21          -6.71%          $5,981,525           78087     
81    CHZ          $0.03           -0.42%          $5,791,797           60135     
82    PNUT         $0.08           -8.40%          $5,771,552           48445     
83    ZK           $0.03           -6.51%          $5,752,831           72816     
84    SHELL        $0.06           -0.85%          $5,623,186           63121     
85    BAT          $0.28           +3.32%          $5,616,370           47707     
86    BANANAS31    $0.00335000     +1.21%          $5,516,076           81679     
87    MDT          $0.02           +4.75%          $5,297,097           69786     
88    ALLO         $0.13           -12.84%         $5,171,984           95021     
89    PENDLE       $2.30           -7.48%          $5,097,463           50279     
90    ATOM         $2.19           -6.93%          $4,871,919           26657     
91    SXP          $0.06           +3.85%          $4,736,259           43674     
92    ORDI         $4.17           -5.42%          $4,655,663           62211     
93    ALGO         $0.13           -8.45%          $4,488,804           24291     
94    XTZ          $0.51           +0.34%          $4,441,865           57556     
95    S            $0.09           -4.82%          $4,436,231           28179     
96    KITE         $0.08           -0.85%          $4,411,577           43766     
97    FIS          $0.03           +29.57%         $4,307,891           51897     
98    ARKM         $0.21           -8.55%          $4,248,206           19176     
99    RENDER       $1.61           -6.79%          $4,239,807           35821     
100   VET          $0.01           -6.25%          $4,063,499           36800     
101   WBETH        $3,495.65       -5.22%          $4,035,048           17402     
102   BERA         $0.74           -12.37%         $3,991,419           15948     
103   KDA          $0.00600000     -55.56%         $3,976,201           37848     
104   TNSR         $0.10           -6.46%          $3,964,511           25210     
105   DYDX         $0.20           -4.58%          $3,706,498           37994     
106   RSR          $0.00306500     -6.75%          $3,685,468           57159     
107   PLUME        $0.02           -9.46%          $3,665,369           33673     
108   MAGIC        $0.11           -8.42%          $3,664,563           25413     
109   GALA         $0.00729000     -7.01%          $3,556,442           35492     
110   VOXEL        $0.02           +4.85%          $3,550,577           28148     
111   ZRO          $1.45           -5.17%          $3,544,884           27377     
112   AR           $4.00           -4.99%          $3,489,144           21150     
113   LINEA        $0.00762000     -6.50%          $3,461,774           38312     
114   MMT          $0.20           -7.09%          $3,306,374           35488     
115   THETA        $0.34           -5.26%          $3,298,903           17246     
116   KMNO         $0.06           -5.37%          $3,221,418           37166     
117   RUNE         $0.67           -5.88%          $3,215,749           19178     
118   RDNT         $0.01           -2.51%          $3,169,805           25318     
119   AXL          $0.12           -6.80%          $3,167,268           28890     
120   ACE          $0.26           -1.53%          $3,136,658           24630     
121   BTTC         $0.00000041     -4.65%          $3,015,270           11284     
122   QNT          $80.68          -6.33%          $3,002,176           48708     
123   BB           $0.08           -7.86%          $2,985,080           24110     
124   G            $0.00578000     -7.52%          $2,979,724           23167     
125   FORM         $0.30           -10.21%         $2,924,799           66559     
126   AVNT         $0.30           -7.12%          $2,898,132           30465     
127   GRT          $0.04           -7.65%          $2,816,995           46119     
128   RESOLV       $0.07           -3.10%          $2,763,363           27425     
129   CYBER        $0.84           -3.11%          $2,760,402           31793     
130   SAND         $0.14           -8.17%          $2,757,979           22738     
131   AIXBT        $0.04           -9.31%          $2,643,268           23525     
132   SUPER        $0.27           -4.63%          $2,558,411           24899     
133   BOME         $0.00069700     -8.29%          $2,554,649           44844     
134   FF           $0.12           -1.42%          $2,527,376           74023     
135   W            $0.04           -7.98%          $2,481,497           15363     
136   TURBO        $0.00201800     -5.88%          $2,480,378           21390     
137   1MBABYDOGE   $0.00068100     -6.11%          $2,462,918           61202     
138   IO           $0.17           -8.84%          $2,458,943           9514      
139   MANA         $0.15           -6.06%          $2,444,409           18925     
140   SAHARA       $0.03           -6.92%          $2,425,833           18256     
141   0G           $0.94           -6.53%          $2,421,404           16626     
142   1000SATS     $0.00001668     -5.12%          $2,351,612           26076     
143   PYTH         $0.06           -9.50%          $2,343,096           24909     
144   EURI         $1.17           +0.46%          $2,291,921           15054     
145   JUP          $0.22           -8.33%          $2,283,678           21804     
146   KAIA         $0.08           -2.43%          $2,172,722           18523     
147   TRB          $21.26          -6.05%          $2,158,866           27861     
148   RAY          $1.11           -7.75%          $2,143,652           16991     
149   MEME         $0.00114000     -6.10%          $2,140,743           26842     
150   SNX          $0.47           -8.35%          $2,123,921           17214     
151   CHESS        $0.03           -9.08%          $2,086,409           35316     
152   SUN          $0.02           +2.35%          $2,060,260           17139     
153   JTO          $0.40           -11.09%         $2,051,913           13515     
154   USUAL        $0.02           -4.25%          $2,009,218           20632     
155   CFX          $0.07           -5.61%          $2,007,761           12991     
156   FTT          $0.62           -2.13%          $1,996,660           16653     
157   PARTI        $0.10           -7.50%          $1,953,542           27745     
158   ME           $0.28           -9.48%          $1,950,719           7673      
159   WCT          $0.08           -9.67%          $1,931,250           20916     
160   TWT          $0.98           -4.06%          $1,926,495           28207     
161   XAI          $0.02           -5.46%          $1,921,112           10164     
162   JST          $0.04           +0.74%          $1,882,456           20621     
163   ERA          $0.24           -1.42%          $1,879,598           23995     
164   SANTOS       $1.92           +1.21%          $1,879,332           15500     
165   APE          $0.24           -4.78%          $1,864,724           40830     
166   AXS          $1.05           -7.10%          $1,848,216           13561     
167   AEVO         $0.04           -3.96%          $1,843,064           15240     
168   KAITO        $0.62           -5.10%          $1,826,453           13259     
169   HEMI         $0.01           -4.61%          $1,787,089           8080      
170   DOGS         $0.00004760     -10.02%         $1,769,407           27879     
171   A            $0.18           -4.44%          $1,765,898           18196     
172   JASMY        $0.00683000     -6.05%          $1,759,608           10358     
173   STX          $0.30           -7.00%          $1,758,175           23139     
174   NXPC         $0.49           -0.65%          $1,751,205           67587     
175   FLM          $0.02           -12.11%         $1,745,865           19381     
176   NOT          $0.00058200     -6.43%          $1,741,790           19066     
177   ENS          $11.02          -7.00%          $1,739,165           12165     
178   GLM          $0.22           -0.09%          $1,729,632           12072     
179   2Z           $0.13           -5.53%          $1,726,984           77104     
180   IMX          $0.28           -8.14%          $1,719,075           9969      
181   NEO          $4.13           -4.67%          $1,696,974           20297     
182   BUSD         $1.00           -0.03%          $1,692,463           4001      
183   MINA         $0.09           -5.27%          $1,667,387           11663     
184   ENSO         $0.69           -5.71%          $1,653,424           12147     
185   RNDR         $7.03           +2.58%          $1,634,692           4001      
186   ACH          $0.00881000     -3.50%          $1,626,095           12970     
187   RAD          $0.29           -3.60%          $1,624,740           13559     
188   HOME         $0.02           -2.92%          $1,617,601           15460     
189   1000CHEEMS   $0.00107700     +0.75%          $1,610,470           204931    
190   YB           $0.46           -2.73%          $1,608,738           24841     
191   ALT          $0.01           -6.09%          $1,588,907           13285     
192   XVG          $0.00637800     -0.58%          $1,580,882           24444     
193   ACT          $0.02           -6.10%          $1,576,863           13959     
194   KSM          $7.81           -7.46%          $1,566,388           13361     
195   MORPHO       $1.21           -5.41%          $1,559,559           15525     
196   STO          $0.13           +5.27%          $1,551,435           13763     
197   CELO         $0.16           -5.87%          $1,533,543           15584     
198   COCOS        $1.75           +3.44%          $1,531,716           4001      
199   CVC          $0.05           -3.11%          $1,525,461           13252     
200   INIT         $0.09           -7.91%          $1,508,637           14395     
